cod_ibge,municipio,sexo,idade,populacao
2300408,Aiuaba - CE,Total,100 anos ou mais,3.0
2300507,Alcântaras - CE,Total,Total,11369.0
2300507,Alcântaras - CE,Total,0 a 4 anos,744.0
2300507,Alcântaras - CE,Total,5 a 9 anos,824.0
2300507,Alcântaras - CE,Total,10 a 14 anos,768.0
2300507,Alcântaras - CE,Total,15 a 19 anos,901.0
2300507,Alcântaras - CE,Total,20 a 24 anos,901.0
2300507,Alcântaras - CE,Total,25 a 29 anos,965.0
2300507,Alcântaras - CE,Total,30 a 34 anos,878.0
2300507,Alcântaras - CE,Total,35 a 39 anos,867.0
2300507,Alcântaras - CE,Total,40 a 44 anos,789.0
2300507,Alcântaras - CE,Total,45 a 49 anos,699.0
2300507,Alcântaras - CE,Total,50 a 54 anos,606.0
2300507,Alcântaras - CE,Total,55 a 59 anos,667.0
2300507,Alcântaras - CE,Total,60 a 64 anos,466.0
2300507,Alcântaras - CE,Total,65 a 69 anos,390.0
2300507,Alcântaras - CE,Total,70 a 74 anos,331.0
2300507,Alcântaras - CE,Total,75 a 79 anos,209.0
2300507,Alcântaras - CE,Total,80 a 84 anos,181.0
2300507,Alcântaras - CE,Total,85 a 89 anos,107.0
2300507,Alcântaras - CE,Total,90 a 94 anos,54.0
2300507,Alcântaras - CE,Total,95 a 99 anos,19.0
2300507,Alcântaras - CE,Total,100 anos ou mais,3.0
2300606,Altaneira - CE,Total,Total,6782.0
2300606,Altaneira - CE,Total,0 a 4 anos,490.0
2300606,Altaneira - CE,Total,5 a 9 anos,476.0
2300606,Altaneira - CE,Total,10 a 14 anos,479.0
2300606,Altaneira - CE,Total,15 a 19 anos,543.0
2300606,Altaneira - CE,Total,20 a 24 anos,544.0
2300606,Altaneira - CE,Total,25 a 29 anos,517.0
2300606,Altaneira - CE,Total,30 a 34 anos,439.0
2300606,Altaneira - CE,Total,35 a 39 anos,445.0
2300606,Altaneira - CE,Total,40 a 44 anos,480.0
2300606,Altaneira - CE,Total,45 a 49 anos,445.0
2300606,Altaneira - CE,Total,50 a 54 anos,366.0
2300606,Altaneira - CE,Total,55 a 59 anos,351.0
2300606,Altaneira - CE,Total,60 a 64 anos,273.0
2300606,Altaneira - CE,Total,65 a 69 anos,234.0
2300606,Altaneira - CE,Total,70 a 74 anos,255.0
2300606,Altaneira - CE,Total,75 a 79 anos,185.0
2300606,Altaneira - CE,Total,80 a 84 anos,155.0
2300606,Altaneira - CE,Total,85 a 89 anos,66.0
2300606,Altaneira - CE,Total,90 a 94 anos,26.0
2300606,Altaneira - CE,Total,95 a 99 anos,10.0
2300606,Altaneira - CE,Total,100 anos ou mais,3.0
2300705,Alto Santo - CE,Total,Total,14155.0
2300705,Alto Santo - CE,Total,0 a 4 anos,941.0
2300705,Alto Santo - CE,Total,5 a 9 anos,993.0
2300705,Alto Santo - CE,Total,10 a 14 anos,936.0
2300705,Alto Santo - CE,Total,15 a 19 anos,1079.0
2300705,Alto Santo - CE,Total,20 a 24 anos,1103.0
2300705,Alto Santo - CE,Total,25 a 29 anos,978.0
2300705,Alto Santo - CE,Total,30 a 34 anos,1041.0
2300705,Alto Santo - CE,Total,35 a 39 anos,1119.0
2300705,Alto Santo - CE,Total,40 a 44 anos,991.0
2300705,Alto Santo - CE,Total,45 a 49 anos,879.0
2300705,Alto Santo - CE,Total,50 a 54 anos,834.0
2300705,Alto Santo - CE,Total,55 a 59 anos,849.0
2300705,Alto Santo - CE,Total,60 a 64 anos,734.0
2300705,Alto Santo - CE,Total,65 a 69 anos,536.0
2300705,Alto Santo - CE,Total,70 a 74 anos,447.0
2300705,Alto Santo - CE,Total,75 a 79 anos,283.0
2300705,Alto Santo - CE,Total,80 a 84 anos,227.0
2300705,Alto Santo - CE,Total,85 a 89 anos,113.0
2300705,Alto Santo - CE,Total,90 a 94 anos,50.0
2300705,Alto Santo - CE,Total,95 a 99 anos,16.0
2300705,Alto Santo - CE,Total,100 anos ou mais,6.0
