cod_ibge,municipio,ano,idade_mae,nascimentos
2300150,Acarape - CE,2018,40 a 44 anos,8.0
2300150,Acarape - CE,2018,45 a 49 anos,
2300150,Acarape - CE,2018,50 anos ou mais,
2300150,Acarape - CE,2018,Ignorada,
2300150,Acarape - CE,2019,Total,239.0
2300150,Acarape - CE,2019,Menos de 15 anos,4.0
2300150,Acarape - CE,2019,15 a 19 anos,38.0
2300150,Acarape - CE,2019,20 a 24 anos,73.0
2300150,Acarape - CE,2019,25 a 29 anos,63.0
2300150,Acarape - CE,2019,30 a 34 anos,39.0
2300150,Acarape - CE,2019,35 a 39 anos,17.0
2300150,Acarape - CE,2019,40 a 44 anos,5.0
2300150,Acarape - CE,2019,45 a 49 anos,
2300150,Acarape - CE,2019,50 anos ou mais,
2300150,Acarape - CE,2019,Ignorada,
2300200,Acaraú - CE,2014,Total,947.0
2300200,Acaraú - CE,2014,Menos de 15 anos,8.0
2300200,Acaraú - CE,2014,15 a 19 anos,209.0
2300200,Acaraú - CE,2014,20 a 24 anos,256.0
2300200,Acaraú - CE,2014,25 a 29 anos,219.0
2300200,Acaraú - CE,2014,30 a 34 anos,158.0
2300200,Acaraú - CE,2014,35 a 39 anos,80.0
2300200,Acaraú - CE,2014,40 a 44 anos,14.0
2300200,Acaraú - CE,2014,45 a 49 anos,3.0
2300200,Acaraú - CE,2014,50 anos ou mais,
2300200,Acaraú - CE,2014,Ignorada,
2300200,Acaraú - CE,2015,Total,1029.0
2300200,Acaraú - CE,2015,Menos de 15 anos,19.0
2300200,Acaraú - CE,2015,15 a 19 anos,201.0
2300200,Acaraú - CE,2015,20 a 24 anos,246.0
2300200,Acaraú - CE,2015,25 a 29 anos,246.0
2300200,Acaraú - CE,2015,30 a 34 anos,188.0
2300200,Acaraú - CE,2015,35 a 39 anos,98.0
2300200,Acaraú - CE,2015,40 a 44 anos,28.0
2300200,Acaraú - CE,2015,45 a 49 anos,3.0
2300200,Acaraú - CE,2015,50 anos ou mais,
2300200,Acaraú - CE,2015,Ignorada,
2300200,Acaraú - CE,2016,Total,960.0
2300200,Acaraú - CE,2016,Menos de 15 anos,4.0
2300200,Acaraú - CE,2016,15 a 19 anos,170.0
2300200,Acaraú - CE,2016,20 a 24 anos,259.0
2300200,Acaraú - CE,2016,25 a 29 anos,233.0
2300200,Acaraú - CE,2016,30 a 34 anos,168.0
2300200,Acaraú - CE,2016,35 a 39 anos,101.0
2300200,Acaraú - CE,2016,40 a 44 anos,23.0
2300200,Acaraú - CE,2016,45 a 49 anos,2.0
2300200,Acaraú - CE,2016,50 anos ou mais,
2300200,Acaraú - CE,2016,Ignorada,
2300200,Acaraú - CE,2017,Total,1004.0
2300200,Acaraú - CE,2017,Menos de 15 anos,5.0
2300200,Acaraú - CE,2017,15 a 19 anos,168.0
2300200,Acaraú - CE,2017,20 a 24 anos,309.0
2300200,Acaraú - CE,2017,25 a 29 anos,218.0
2300200,Acaraú - CE,2017,30 a 34 anos,177.0
2300200,Acaraú - CE,2017,35 a 39 anos,89.0
2300200,Acaraú - CE,2017,40 a 44 anos,35.0
2300200,Acaraú - CE,2017,45 a 49 anos,3.0
2300200,Acaraú - CE,2017,50 anos ou mais,
2300200,Acaraú - CE,2017,Ignorada,
2300200,Acaraú - CE,2018,Total,1026.0
2300200,Acaraú - CE,2018,Menos de 15 anos,10.0
2300200,Acaraú - CE,2018,15 a 19 anos,155.0
2300200,Acaraú - CE,2018,20 a 24 anos,287.0
2300200,Acaraú - CE,2018,25 a 29 anos,232.0
2300200,Acaraú - CE,2018,30 a 34 anos,198.0
2300200,Acaraú - CE,2018,35 a 39 anos,104.0
2300200,Acaraú - CE,2018,40 a 44 anos,38.0
2300200,Acaraú - CE,2018,45 a 49 anos,2.0
2300200,Acaraú - CE,2018,50 anos ou mais,
2300200,Acaraú - CE,2018,Ignorada,
2300200,Acaraú - CE,2019,Total,1034.0
2300200,Acaraú - CE,2019,Menos de 15 anos,8.0
2300200,Acaraú - CE,2019,15 a 19 anos,153.0
2300200,Acaraú - CE,2019,20 a 24 anos,270.0
2300200,Acaraú - CE,2019,25 a 29 anos,240.0
2300200,Acaraú - CE,2019,30 a 34 anos,221.0
2300200,Acaraú - CE,2019,35 a 39 anos,106.0
2300200,Acaraú - CE,2019,40 a 44 anos,35.0
2300200,Acaraú - CE,2019,45 a 49 anos,
2300200,Acaraú - CE,2019,50 anos ou mais,1.0
2300200,Acaraú - CE,2019,Ignorada,
2300309,Acopiara - CE,2014,Total,578.0
2300309,Acopiara - CE,2014,Menos de 15 anos,6.0
2300309,Acopiara - CE,2014,15 a 19 anos,115.0
2300309,Acopiara - CE,2014,20 a 24 anos,153.0
2300309,Acopiara - CE,2014,25 a 29 anos,141.0
2300309,Acopiara - CE,2014,30 a 34 anos,100.0
2300309,Acopiara - CE,2014,35 a 39 anos,45.0
2300309,Acopiara - CE,2014,40 a 44 anos,14.0
2300309,Acopiara - CE,2014,45 a 49 anos,1.0
2300309,Acopiara - CE,2014,50 anos ou mais,1.0
2300309,Acopiara - CE,2014,Ignorada,2.0
2300309,Acopiara - CE,2015,Total,645.0
2300309,Acopiara - CE,2015,Menos de 15 anos,4.0
2300309,Acopiara - CE,2015,15 a 19 anos,120.0
2300309,Acopiara - CE,2015,20 a 24 anos,185.0
2300309,Acopiara - CE,2015,25 a 29 anos,169.0
2300309,Acopiara - CE,2015,30 a 34 anos,102.0
