NC;NN;D1C;D1N;D2C;D2N;D3C;D3N;D4C;D4N;D5C;D5N;D6C;D6N;D7C;D7N;D8C;D8N;MC;MN;V
Nível Territorial (Código);Nível Territorial;Brasil, Unidade da Federação e Município (Código);Brasil, Unidade da Federação e Município;Variável (Código);Variável;Ano (Código);Ano;Mês de ocorrência (Código);Mês de ocorrência;Natureza do óbito (Código);Natureza do óbito;Sexo (Código);Sexo;Idade do(a) falecido(a) (Código);Idade do(a) falecido(a);Local de ocorrência (Código);Local de ocorrência;Unidade de Medida (Código);Unidade de Medida;Valor
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;0;Total;0;Total;45;Pessoas;1190033
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;5922;Menos de 1 ano;0;Total;45;Pessoas;31524
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;5948;1 a 4 anos;0;Total;45;Pessoas;5780
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;5953;5 a 9 anos;0;Total;45;Pessoas;3438
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;5959;10 a 14 anos;0;Total;45;Pessoas;4995
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;5966;15 a 19 anos;0;Total;45;Pessoas;20841
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;5967;20 a 24 anos;0;Total;45;Pessoas;26744
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;5968;25 a 29 anos;0;Total;45;Pessoas;26997
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;5969;30 a 34 anos;0;Total;45;Pessoas;30024
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;5970;35 a 39 anos;0;Total;45;Pessoas;32617
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;5971;40 a 44 anos;0;Total;45;Pessoas;38226
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;5972;45 a 49 anos;0;Total;45;Pessoas;50296
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;5973;50 a 54 anos;0;Total;45;Pessoas;65293
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;5974;55 a 59 anos;0;Total;45;Pessoas;80978
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;5975;60 a 64 anos;0;Total;45;Pessoas;93257
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;5976;65 a 69 anos;0;Total;45;Pessoas;103106
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;5977;70 a 74 anos;0;Total;45;Pessoas;114504
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;5978;75 a 79 anos;0;Total;45;Pessoas;127406
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;5979;80 a 84 anos;0;Total;45;Pessoas;126481
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;5980;85 anos ou mais;0;Total;45;Pessoas;205232
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;5997;Idade ignorada;0;Total;45;Pessoas;2294
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;4;Homens;0;Total;0;Total;45;Pessoas;672611
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;4;Homens;5922;Menos de 1 ano;0;Total;45;Pessoas;17605
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;4;Homens;5948;1 a 4 anos;0;Total;45;Pessoas;3150
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;4;Homens;5953;5 a 9 anos;0;Total;45;Pessoas;1972
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;4;Homens;5959;10 a 14 anos;0;Total;45;Pessoas;3129
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;4;Homens;5966;15 a 19 anos;0;Total;45;Pessoas;17070
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;4;Homens;5967;20 a 24 anos;0;Total;45;Pessoas;22189
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;4;Homens;5968;25 a 29 anos;0;Total;45;Pessoas;21247
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;4;Homens;5969;30 a 34 anos;0;Total;45;Pessoas;22192
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;4;Homens;5970;35 a 39 anos;0;Total;45;Pessoas;22679
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;4;Homens;5971;40 a 44 anos;0;Total;45;Pessoas;25500
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;4;Homens;5972;45 a 49 anos;0;Total;45;Pessoas;32504
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;4;Homens;5973;50 a 54 anos;0;Total;45;Pessoas;41617
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;4;Homens;5974;55 a 59 anos;0;Total;45;Pessoas;50662
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;4;Homens;5975;60 a 64 anos;0;Total;45;Pessoas;56886
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;4;Homens;5976;65 a 69 anos;0;Total;45;Pessoas;60594
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;4;Homens;5977;70 a 74 anos;0;Total;45;Pessoas;64565
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;4;Homens;5978;75 a 79 anos;0;Total;45;Pessoas;66577
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;4;Homens;5979;80 a 84 anos;0;Total;45;Pessoas;59981
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;4;Homens;5980;85 anos ou mais;0;Total;45;Pessoas;80856
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;4;Homens;5997;Idade ignorada;0;Total;45;Pessoas;1636
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;5;Mulheres;0;Total;0;Total;45;Pessoas;517057
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;5;Mulheres;5922;Menos de 1 ano;0;Total;45;Pessoas;13838
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;5;Mulheres;5948;1 a 4 anos;0;Total;45;Pessoas;2626
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;5;Mulheres;5953;5 a 9 anos;0;Total;45;Pessoas;1465
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;5;Mulheres;5959;10 a 14 anos;0;Total;45;Pessoas;1864
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;5;Mulheres;5966;15 a 19 anos;0;Total;45;Pessoas;3761
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;5;Mulheres;5967;20 a 24 anos;0;Total;45;Pessoas;4549
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;5;Mulheres;5968;25 a 29 anos;0;Total;45;Pessoas;5743
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;5;Mulheres;5969;30 a 34 anos;0;Total;45;Pessoas;7824
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;5;Mulheres;5970;35 a 39 anos;0;Total;45;Pessoas;9932
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;5;Mulheres;5971;40 a 44 anos;0;Total;45;Pessoas;12717
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;5;Mulheres;5972;45 a 49 anos;0;Total;45;Pessoas;17784
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;5;Mulheres;5973;50 a 54 anos;0;Total;45;Pessoas;23663
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;5;Mulheres;5974;55 a 59 anos;0;Total;45;Pessoas;30308
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;5;Mulheres;5975;60 a 64 anos;0;Total;45;Pessoas;36364
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;5;Mulheres;5976;65 a 69 anos;0;Total;45;Pessoas;42494
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;5;Mulheres;5977;70 a 74 anos;0;Total;45;Pessoas;49924
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;5;Mulheres;5978;75 a 79 anos;0;Total;45;Pessoas;60806
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;5;Mulheres;5979;80 a 84 anos;0;Total;45;Pessoas;66477
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;5;Mulheres;5980;85 anos ou mais;0;Total;45;Pessoas;124335
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;5;Mulheres;5997;Idade ignorada;0;Total;45;Pessoas;583
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;104539;Ignorado;0;Total;0;Total;45;Pessoas;365
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;104539;Ignorado;5922;Menos de 1 ano;0;Total;45;Pessoas;81
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;104539;Ignorado;5948;1 a 4 anos;0;Total;45;Pessoas;4
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2014;2014;0;Total;0;Total;104539;Ignorado;5953;5 a 9 anos;0;Total;45;Pessoas;1
