NC;NN;D1C;D1N;D2C;D2N;D3C;D3N;MC;MN;V
Nível Territorial (Código);Nível Territorial;Brasil, Unidade da Federação e Município (Código);Brasil, Unidade da Federação e Município;Variável (Código);Variável;Ano (Código);Ano;Unidade de Medida (Código);Unidade de Medida;Valor
6;Município;2300507;Alcântaras - CE;9324;População residente estimada;2019;2019;45;Pessoas;11714
6;Município;2300507;Alcântaras - CE;9324;População residente estimada;2020;2020;45;Pessoas;11781
6;Município;2300507;Alcântaras - CE;9324;População residente estimada;2021;2021;45;Pessoas;11846
6;Município;2300507;Alcântaras - CE;9324;População residente estimada;2024;2024;45;Pessoas;11754
6;Município;2300606;Altaneira - CE;9324;População residente estimada;2014;2014;45;Pessoas;7271
6;Município;2300606;Altaneira - CE;9324;População residente estimada;2015;2015;45;Pessoas;7344
6;Município;2300606;Altaneira - CE;9324;População residente estimada;2016;2016;45;Pessoas;7413
6;Município;2300606;Altaneira - CE;9324;População residente estimada;2017;2017;45;Pessoas;7479
6;Município;2300606;Altaneira - CE;9324;População residente estimada;2018;2018;45;Pessoas;7521
6;Município;2300606;Altaneira - CE;9324;População residente estimada;2019;2019;45;Pessoas;7586
6;Município;2300606;Altaneira - CE;9324;População residente estimada;2020;2020;45;Pessoas;7650
6;Município;2300606;Altaneira - CE;9324;População residente estimada;2021;2021;45;Pessoas;7712
6;Município;2300606;Altaneira - CE;9324;População residente estimada;2024;2024;45;Pessoas;6970
6;Município;2300705;Alto Santo - CE;9324;População residente estimada;2014;2014;45;Pessoas;16823
6;Município;2300705;Alto Santo - CE;9324;População residente estimada;2015;2015;45;Pessoas;16876
6;Município;2300705;Alto Santo - CE;9324;População residente estimada;2016;2016;45;Pessoas;16927
6;Município;2300705;Alto Santo - CE;9324;População residente estimada;2017;2017;45;Pessoas;16976
6;Município;2300705;Alto Santo - CE;9324;População residente estimada;2018;2018;45;Pessoas;17096
6;Município;2300705;Alto Santo - CE;9324;População residente estimada;2019;2019;45;Pessoas;17146
6;Município;2300705;Alto Santo - CE;9324;População residente estimada;2020;2020;45;Pessoas;17196
6;Município;2300705;Alto Santo - CE;9324;População residente estimada;2021;2021;45;Pessoas;16077
6;Município;2300705;Alto Santo - CE;9324;População residente estimada;2024;2024;45;Pessoas;14418
6;Município;2300754;Amontada - CE;9324;População residente estimada;2014;2014;45;Pessoas;41672
6;Município;2300754;Amontada - CE;9324;População residente estimada;2015;2015;45;Pessoas;42098
6;Município;2300754;Amontada - CE;9324;População residente estimada;2016;2016;45;Pessoas;42508
6;Município;2300754;Amontada - CE;9324;População residente estimada;2017;2017;45;Pessoas;42901
6;Município;2300754;Amontada - CE;9324;População residente estimada;2018;2018;45;Pessoas;43131
6;Município;2300754;Amontada - CE;9324;População residente estimada;2019;2019;45;Pessoas;43452
6;Município;2300754;Amontada - CE;9324;População residente estimada;2020;2020;45;Pessoas;43829
6;Município;2300754;Amontada - CE;9324;População residente estimada;2021;2021;45;Pessoas;44195
6;Município;2300754;Amontada - CE;9324;População residente estimada;2024;2024;45;Pessoas;44342
6;Município;2300804;Antonina do Norte - CE;9324;População residente estimada;2014;2014;45;Pessoas;7200
6;Município;2300804;Antonina do Norte - CE;9324;População residente estimada;2015;2015;45;Pessoas;7227
6;Município;2300804;Antonina do Norte - CE;9324;População residente estimada;2016;2016;45;Pessoas;7253
6;Município;2300804;Antonina do Norte - CE;9324;População residente estimada;2017;2017;45;Pessoas;7278
6;Município;2300804;Antonina do Norte - CE;9324;População residente estimada;2018;2018;45;Pessoas;7328
6;Município;2300804;Antonina do Norte - CE;9324;População residente estimada;2019;2019;45;Pessoas;7353
6;Município;2300804;Antonina do Norte - CE;9324;População residente estimada;2020;2020;45;Pessoas;7378
6;Município;2300804;Antonina do Norte - CE;9324;População residente estimada;2021;2021;45;Pessoas;7402
6;Município;2300804;Antonina do Norte - CE;9324;População residente estimada;2024;2024;45;Pessoas;7484
6;Município;2300903;Apuiarés - CE;9324;População residente estimada;2014;2014;45;Pessoas;14483
6;Município;2300903;Apuiarés - CE;9324;População residente estimada;2015;2015;45;Pessoas;14565
6;Município;2300903;Apuiarés - CE;9324;População residente estimada;2016;2016;45;Pessoas;14644
6;Município;2300903;Apuiarés - CE;9324;População residente estimada;2017;2017;45;Pessoas;14719
6;Município;2300903;Apuiarés - CE;9324;População residente estimada;2018;2018;45;Pessoas;14814
6;Município;2300903;Apuiarés - CE;9324;População residente estimada;2019;2019;45;Pessoas;14600
6;Município;2300903;Apuiarés - CE;9324;População residente estimada;2020;2020;45;Pessoas;14672
6;Município;2300903;Apuiarés - CE;9324;População residente estimada;2021;2021;45;Pessoas;14742
6;Município;2300903;Apuiarés - CE;9324;População residente estimada;2024;2024;45;Pessoas;13219
6;Município;2301000;Aquiraz - CE;9324;População residente estimada;2014;2014;45;Pessoas;76967
6;Município;2301000;Aquiraz - CE;9324;População residente estimada;2015;2015;45;Pessoas;77717
6;Município;2301000;Aquiraz - CE;9324;População residente estimada;2016;2016;45;Pessoas;78438
6;Município;2301000;Aquiraz - CE;9324;População residente estimada;2017;2017;45;Pessoas;79128
6;Município;2301000;Aquiraz - CE;9324;População residente estimada;2018;2018;45;Pessoas;79563
6;Município;2301000;Aquiraz - CE;9324;População residente estimada;2019;2019;45;Pessoas;80271
6;Município;2301000;Aquiraz - CE;9324;População residente estimada;2020;2020;45;Pessoas;80935
6;Município;2301000;Aquiraz - CE;9324;População residente estimada;2021;2021;45;Pessoas;81581
6;Município;2301000;Aquiraz - CE;9324;População residente estimada;2024;2024;45;Pessoas;84737
