NC;NN;D1C;D1N;D2C;D2N;D3C;D3N;D4C;D4N;D5C;D5N;D6C;D6N;D7C;D7N;D8C;D8N;MC;MN;V
Nível Territorial (Código);Nível Territorial;Brasil, Unidade da Federação e Município (Código);Brasil, Unidade da Federação e Município;Variável (Código);Variável;Ano (Código);Ano;Mês de ocorrência (Código);Mês de ocorrência;Natureza do óbito (Código);Natureza do óbito;Sexo (Código);Sexo;Idade do(a) falecido(a) (Código);Idade do(a) falecido(a);Local de ocorrência (Código);Local de ocorrência;Unidade de Medida (Código);Unidade de Medida;Valor
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;0;Total;0;Total;0;Total;45;Pessoas;1425920
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;0;Total;5922;Menos de 1 ano;0;Total;45;Pessoas;27131
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;0;Total;5948;1 a 4 anos;0;Total;45;Pessoas;5689
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;0;Total;5953;5 a 9 anos;0;Total;45;Pessoas;3288
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;0;Total;5959;10 a 14 anos;0;Total;45;Pessoas;3802
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;0;Total;5966;15 a 19 anos;0;Total;45;Pessoas;12855
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;0;Total;5967;20 a 24 anos;0;Total;45;Pessoas;22261
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;0;Total;5968;25 a 29 anos;0;Total;45;Pessoas;25133
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;0;Total;5969;30 a 34 anos;0;Total;45;Pessoas;26580
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;0;Total;5970;35 a 39 anos;0;Total;45;Pessoas;32917
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;0;Total;5971;40 a 44 anos;0;Total;45;Pessoas;43602
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;0;Total;5972;45 a 49 anos;0;Total;45;Pessoas;52220
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;0;Total;5973;50 a 54 anos;0;Total;45;Pessoas;67009
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;0;Total;5974;55 a 59 anos;0;Total;45;Pessoas;90024
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;0;Total;5975;60 a 64 anos;0;Total;45;Pessoas;115332
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;0;Total;5976;65 a 69 anos;0;Total;45;Pessoas;139748
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;0;Total;5977;70 a 74 anos;0;Total;45;Pessoas;153712
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;0;Total;5978;75 a 79 anos;0;Total;45;Pessoas;158262
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;0;Total;5979;80 a 84 anos;0;Total;45;Pessoas;158382
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;0;Total;5980;85 anos ou mais;0;Total;45;Pessoas;286185
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;0;Total;5997;Idade ignorada;0;Total;45;Pessoas;1788
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;4;Homens;0;Total;0;Total;45;Pessoas;780404
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;4;Homens;5922;Menos de 1 ano;0;Total;45;Pessoas;14911
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;4;Homens;5948;1 a 4 anos;0;Total;45;Pessoas;3089
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;4;Homens;5953;5 a 9 anos;0;Total;45;Pessoas;1794
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;4;Homens;5959;10 a 14 anos;0;Total;45;Pessoas;2268
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;4;Homens;5966;15 a 19 anos;0;Total;45;Pessoas;9916
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;4;Homens;5967;20 a 24 anos;0;Total;45;Pessoas;17848
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;4;Homens;5968;25 a 29 anos;0;Total;45;Pessoas;19398
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;4;Homens;5969;30 a 34 anos;0;Total;45;Pessoas;19241
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;4;Homens;5970;35 a 39 anos;0;Total;45;Pessoas;22587
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;4;Homens;5971;40 a 44 anos;0;Total;45;Pessoas;28421
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;4;Homens;5972;45 a 49 anos;0;Total;45;Pessoas;33213
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;4;Homens;5973;50 a 54 anos;0;Total;45;Pessoas;42254
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;4;Homens;5974;55 a 59 anos;0;Total;45;Pessoas;55957
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;4;Homens;5975;60 a 64 anos;0;Total;45;Pessoas;69791
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;4;Homens;5976;65 a 69 anos;0;Total;45;Pessoas;82438
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;4;Homens;5977;70 a 74 anos;0;Total;45;Pessoas;86635
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;4;Homens;5978;75 a 79 anos;0;Total;45;Pessoas;83776
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;4;Homens;5979;80 a 84 anos;0;Total;45;Pessoas;76380
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;4;Homens;5980;85 anos ou mais;0;Total;45;Pessoas;109324
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;4;Homens;5997;Idade ignorada;0;Total;45;Pessoas;1163
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;5;Mulheres;0;Total;0;Total;45;Pessoas;645265
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;5;Mulheres;5922;Menos de 1 ano;0;Total;45;Pessoas;12158
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;5;Mulheres;5948;1 a 4 anos;0;Total;45;Pessoas;2599
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;5;Mulheres;5953;5 a 9 anos;0;Total;45;Pessoas;1494
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;5;Mulheres;5959;10 a 14 anos;0;Total;45;Pessoas;1533
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;5;Mulheres;5966;15 a 19 anos;0;Total;45;Pessoas;2938
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;5;Mulheres;5967;20 a 24 anos;0;Total;45;Pessoas;4413
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;5;Mulheres;5968;25 a 29 anos;0;Total;45;Pessoas;5734
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;5;Mulheres;5969;30 a 34 anos;0;Total;45;Pessoas;7337
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;5;Mulheres;5970;35 a 39 anos;0;Total;45;Pessoas;10325
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;5;Mulheres;5971;40 a 44 anos;0;Total;45;Pessoas;15180
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;5;Mulheres;5972;45 a 49 anos;0;Total;45;Pessoas;19002
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;5;Mulheres;5973;50 a 54 anos;0;Total;45;Pessoas;24751
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;5;Mulheres;5974;55 a 59 anos;0;Total;45;Pessoas;34058
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;5;Mulheres;5975;60 a 64 anos;0;Total;45;Pessoas;45531
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;5;Mulheres;5976;65 a 69 anos;0;Total;45;Pessoas;57302
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;5;Mulheres;5977;70 a 74 anos;0;Total;45;Pessoas;67064
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;5;Mulheres;5978;75 a 79 anos;0;Total;45;Pessoas;74466
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;5;Mulheres;5979;80 a 84 anos;0;Total;45;Pessoas;81984
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;5;Mulheres;5980;85 anos ou mais;0;Total;45;Pessoas;176838
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;5;Mulheres;5997;Idade ignorada;0;Total;45;Pessoas;558
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;104539;Ignorado;0;Total;0;Total;45;Pessoas;251
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;104539;Ignorado;5922;Menos de 1 ano;0;Total;45;Pessoas;62
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;104539;Ignorado;5948;1 a 4 anos;0;Total;45;Pessoas;1
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;104539;Ignorado;5953;5 a 9 anos;0;Total;45;Pessoas;-
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;104539;Ignorado;5959;10 a 14 anos;0;Total;45;Pessoas;1
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;104539;Ignorado;5966;15 a 19 anos;0;Total;45;Pessoas;1
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;104539;Ignorado;5967;20 a 24 anos;0;Total;45;Pessoas;-
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;104539;Ignorado;5968;25 a 29 anos;0;Total;45;Pessoas;1
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;104539;Ignorado;5969;30 a 34 anos;0;Total;45;Pessoas;2
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;104539;Ignorado;5970;35 a 39 anos;0;Total;45;Pessoas;5
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;104539;Ignorado;5971;40 a 44 anos;0;Total;45;Pessoas;1
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;104539;Ignorado;5972;45 a 49 anos;0;Total;45;Pessoas;5
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;104539;Ignorado;5973;50 a 54 anos;0;Total;45;Pessoas;4
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;104539;Ignorado;5974;55 a 59 anos;0;Total;45;Pessoas;9
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;104539;Ignorado;5975;60 a 64 anos;0;Total;45;Pessoas;10
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;104539;Ignorado;5976;65 a 69 anos;0;Total;45;Pessoas;8
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;104539;Ignorado;5977;70 a 74 anos;0;Total;45;Pessoas;13
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;104539;Ignorado;5978;75 a 79 anos;0;Total;45;Pessoas;20
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;104539;Ignorado;5979;80 a 84 anos;0;Total;45;Pessoas;18
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;104539;Ignorado;5980;85 anos ou mais;0;Total;45;Pessoas;23
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2023;2023;0;Total;0;Total;104539;Ignorado;5997;Idade ignorada;0;Total;45;Pessoas;67
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;0;Total;0;Total;0;Total;45;Pessoas;1490857
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;0;Total;5922;Menos de 1 ano;0;Total;45;Pessoas;25502
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;0;Total;5948;1 a 4 anos;0;Total;45;Pessoas;5445
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;0;Total;5953;5 a 9 anos;0;Total;45;Pessoas;3364
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;0;Total;5959;10 a 14 anos;0;Total;45;Pessoas;3885
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;0;Total;5966;15 a 19 anos;0;Total;45;Pessoas;12957
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;0;Total;5967;20 a 24 anos;0;Total;45;Pessoas;22155
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;0;Total;5968;25 a 29 anos;0;Total;45;Pessoas;25445
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;0;Total;5969;30 a 34 anos;0;Total;45;Pessoas;27218
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;0;Total;5970;35 a 39 anos;0;Total;45;Pessoas;34312
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;0;Total;5971;40 a 44 anos;0;Total;45;Pessoas;44880
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;0;Total;5972;45 a 49 anos;0;Total;45;Pessoas;55091
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;0;Total;5973;50 a 54 anos;0;Total;45;Pessoas;67773
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;0;Total;5974;55 a 59 anos;0;Total;45;Pessoas;92712
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;0;Total;5975;60 a 64 anos;0;Total;45;Pessoas;119918
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;0;Total;5976;65 a 69 anos;0;Total;45;Pessoas;145944
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;0;Total;5977;70 a 74 anos;0;Total;45;Pessoas;163078
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;0;Total;5978;75 a 79 anos;0;Total;45;Pessoas;168260
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;0;Total;5979;80 a 84 anos;0;Total;45;Pessoas;166501
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;0;Total;5980;85 anos ou mais;0;Total;45;Pessoas;304516
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;0;Total;5997;Idade ignorada;0;Total;45;Pessoas;1901
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;4;Homens;0;Total;0;Total;45;Pessoas;812518
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;4;Homens;5922;Menos de 1 ano;0;Total;45;Pessoas;14091
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;4;Homens;5948;1 a 4 anos;0;Total;45;Pessoas;2957
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;4;Homens;5953;5 a 9 anos;0;Total;45;Pessoas;1846
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;4;Homens;5959;10 a 14 anos;0;Total;45;Pessoas;2265
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;4;Homens;5966;15 a 19 anos;0;Total;45;Pessoas;9904
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;4;Homens;5967;20 a 24 anos;0;Total;45;Pessoas;17535
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;4;Homens;5968;25 a 29 anos;0;Total;45;Pessoas;19433
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;4;Homens;5969;30 a 34 anos;0;Total;45;Pessoas;19712
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;4;Homens;5970;35 a 39 anos;0;Total;45;Pessoas;23220
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;4;Homens;5971;40 a 44 anos;0;Total;45;Pessoas;28989
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;4;Homens;5972;45 a 49 anos;0;Total;45;Pessoas;34911
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;4;Homens;5973;50 a 54 anos;0;Total;45;Pessoas;42728
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;4;Homens;5974;55 a 59 anos;0;Total;45;Pessoas;57576
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;4;Homens;5975;60 a 64 anos;0;Total;45;Pessoas;72258
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;4;Homens;5976;65 a 69 anos;0;Total;45;Pessoas;85554
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;4;Homens;5977;70 a 74 anos;0;Total;45;Pessoas;91424
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;4;Homens;5978;75 a 79 anos;0;Total;45;Pessoas;88918
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;4;Homens;5979;80 a 84 anos;0;Total;45;Pessoas;80031
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;4;Homens;5980;85 anos ou mais;0;Total;45;Pessoas;117983
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;4;Homens;5997;Idade ignorada;0;Total;45;Pessoas;1183
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;5;Mulheres;0;Total;0;Total;45;Pessoas;677114
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;5;Mulheres;5922;Menos de 1 ano;0;Total;45;Pessoas;11327
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;5;Mulheres;5948;1 a 4 anos;0;Total;45;Pessoas;2477
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;5;Mulheres;5953;5 a 9 anos;0;Total;45;Pessoas;1513
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;5;Mulheres;5959;10 a 14 anos;0;Total;45;Pessoas;1612
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;5;Mulheres;5966;15 a 19 anos;0;Total;45;Pessoas;3037
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2024;2024;0;Total;0;Total;5;Mulheres;5967;20 a 24 anos;0;Total;45;Pessoas;4596
