NC;NN;D1C;D1N;D2C;D2N;D3C;D3N;D4C;D4N;D5C;D5N;D6C;D6N;D7C;D7N;D8C;D8N;MC;MN;V
Nível Territorial (Código);Nível Territorial;Brasil, Unidade da Federação e Município (Código);Brasil, Unidade da Federação e Município;Variável (Código);Variável;Ano (Código);Ano;Mês de ocorrência (Código);Mês de ocorrência;Natureza do óbito (Código);Natureza do óbito;Sexo (Código);Sexo;Idade do(a) falecido(a) (Código);Idade do(a) falecido(a);Local de ocorrência (Código);Local de ocorrência;Unidade de Medida (Código);Unidade de Medida;Valor
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5971;40 a 44 anos;0;Total;45;Pessoas;25148
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5972;45 a 49 anos;0;Total;45;Pessoas;31009
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5973;50 a 54 anos;0;Total;45;Pessoas;41694
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5974;55 a 59 anos;0;Total;45;Pessoas;51978
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5975;60 a 64 anos;0;Total;45;Pessoas;62468
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5976;65 a 69 anos;0;Total;45;Pessoas;68566
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5977;70 a 74 anos;0;Total;45;Pessoas;70002
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5978;75 a 79 anos;0;Total;45;Pessoas;71731
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5979;80 a 84 anos;0;Total;45;Pessoas;65795
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5980;85 anos ou mais;0;Total;45;Pessoas;93862
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5997;Idade ignorada;0;Total;45;Pessoas;1431
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;0;Total;0;Total;45;Pessoas;561515
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;5922;Menos de 1 ano;0;Total;45;Pessoas;13703
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;5948;1 a 4 anos;0;Total;45;Pessoas;2500
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;5953;5 a 9 anos;0;Total;45;Pessoas;1259
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;5959;10 a 14 anos;0;Total;45;Pessoas;1696
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;5966;15 a 19 anos;0;Total;45;Pessoas;3536
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;5967;20 a 24 anos;0;Total;45;Pessoas;4374
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;5968;25 a 29 anos;0;Total;45;Pessoas;5159
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;5969;30 a 34 anos;0;Total;45;Pessoas;7326
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;5970;35 a 39 anos;0;Total;45;Pessoas;10248
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;5971;40 a 44 anos;0;Total;45;Pessoas;12873
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;5972;45 a 49 anos;0;Total;45;Pessoas;17587
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;5973;50 a 54 anos;0;Total;45;Pessoas;24331
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;5974;55 a 59 anos;0;Total;45;Pessoas;32018
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;5975;60 a 64 anos;0;Total;45;Pessoas;40590
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;5976;65 a 69 anos;0;Total;45;Pessoas;47656
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;5977;70 a 74 anos;0;Total;45;Pessoas;54911
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;5978;75 a 79 anos;0;Total;45;Pessoas;64685
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;5979;80 a 84 anos;0;Total;45;Pessoas;71676
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;5980;85 anos ou mais;0;Total;45;Pessoas;144830
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;5997;Idade ignorada;0;Total;45;Pessoas;557
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;104539;Ignorado;0;Total;0;Total;45;Pessoas;329
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;104539;Ignorado;5922;Menos de 1 ano;0;Total;45;Pessoas;103
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;104539;Ignorado;5948;1 a 4 anos;0;Total;45;Pessoas;4
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;104539;Ignorado;5953;5 a 9 anos;0;Total;45;Pessoas;-
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;104539;Ignorado;5959;10 a 14 anos;0;Total;45;Pessoas;-
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;104539;Ignorado;5966;15 a 19 anos;0;Total;45;Pessoas;7
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;104539;Ignorado;5967;20 a 24 anos;0;Total;45;Pessoas;6
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;104539;Ignorado;5968;25 a 29 anos;0;Total;45;Pessoas;4
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;104539;Ignorado;5969;30 a 34 anos;0;Total;45;Pessoas;4
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;104539;Ignorado;5970;35 a 39 anos;0;Total;45;Pessoas;7
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;104539;Ignorado;5971;40 a 44 anos;0;Total;45;Pessoas;3
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;104539;Ignorado;5972;45 a 49 anos;0;Total;45;Pessoas;3
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;104539;Ignorado;5973;50 a 54 anos;0;Total;45;Pessoas;5
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;104539;Ignorado;5974;55 a 59 anos;0;Total;45;Pessoas;11
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;104539;Ignorado;5975;60 a 64 anos;0;Total;45;Pessoas;12
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;104539;Ignorado;5976;65 a 69 anos;0;Total;45;Pessoas;10
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;104539;Ignorado;5977;70 a 74 anos;0;Total;45;Pessoas;11
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;104539;Ignorado;5978;75 a 79 anos;0;Total;45;Pessoas;16
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;104539;Ignorado;5979;80 a 84 anos;0;Total;45;Pessoas;17
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;104539;Ignorado;5980;85 anos ou mais;0;Total;45;Pessoas;36
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;104539;Ignorado;5997;Idade ignorada;0;Total;45;Pessoas;70
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;0;Total;0;Total;0;Total;45;Pessoas;1279260
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;0;Total;5922;Menos de 1 ano;0;Total;45;Pessoas;30418
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;0;Total;5948;1 a 4 anos;0;Total;45;Pessoas;5487
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;0;Total;5953;5 a 9 anos;0;Total;45;Pessoas;2897
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;0;Total;5959;10 a 14 anos;0;Total;45;Pessoas;4137
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;0;Total;5966;15 a 19 anos;0;Total;45;Pessoas;17909
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;0;Total;5967;20 a 24 anos;0;Total;45;Pessoas;25574
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;0;Total;5968;25 a 29 anos;0;Total;45;Pessoas;23796
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;0;Total;5969;30 a 34 anos;0;Total;45;Pessoas;26549
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;0;Total;5970;35 a 39 anos;0;Total;45;Pessoas;32327
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;0;Total;5971;40 a 44 anos;0;Total;45;Pessoas;37857
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;0;Total;5972;45 a 49 anos;0;Total;45;Pessoas;48465
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;0;Total;5973;50 a 54 anos;0;Total;45;Pessoas;66431
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;0;Total;5974;55 a 59 anos;0;Total;45;Pessoas;84975
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;0;Total;5975;60 a 64 anos;0;Total;45;Pessoas;105833
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;0;Total;5976;65 a 69 anos;0;Total;45;Pessoas;119620
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;0;Total;5977;70 a 74 anos;0;Total;45;Pessoas;128559
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;0;Total;5978;75 a 79 anos;0;Total;45;Pessoas;137774
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;0;Total;5979;80 a 84 anos;0;Total;45;Pessoas;138692
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;0;Total;5980;85 anos ou mais;0;Total;45;Pessoas;240005
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;0;Total;5997;Idade ignorada;0;Total;45;Pessoas;1955
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;4;Homens;0;Total;0;Total;45;Pessoas;712034
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;4;Homens;5922;Menos de 1 ano;0;Total;45;Pessoas;16710
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;4;Homens;5948;1 a 4 anos;0;Total;45;Pessoas;2955
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;4;Homens;5953;5 a 9 anos;0;Total;45;Pessoas;1635
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;4;Homens;5959;10 a 14 anos;0;Total;45;Pessoas;2451
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;4;Homens;5966;15 a 19 anos;0;Total;45;Pessoas;14560
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;4;Homens;5967;20 a 24 anos;0;Total;45;Pessoas;21147
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;4;Homens;5968;25 a 29 anos;0;Total;45;Pessoas;18758
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;4;Homens;5969;30 a 34 anos;0;Total;45;Pessoas;19413
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;4;Homens;5970;35 a 39 anos;0;Total;45;Pessoas;22255
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;4;Homens;5971;40 a 44 anos;0;Total;45;Pessoas;24825
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;4;Homens;5972;45 a 49 anos;0;Total;45;Pessoas;30848
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;4;Homens;5973;50 a 54 anos;0;Total;45;Pessoas;41959
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;4;Homens;5974;55 a 59 anos;0;Total;45;Pessoas;52870
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;4;Homens;5975;60 a 64 anos;0;Total;45;Pessoas;64444
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;4;Homens;5976;65 a 69 anos;0;Total;45;Pessoas;70248
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;4;Homens;5977;70 a 74 anos;0;Total;45;Pessoas;72396
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;4;Homens;5978;75 a 79 anos;0;Total;45;Pessoas;72890
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;4;Homens;5979;80 a 84 anos;0;Total;45;Pessoas;66442
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;4;Homens;5980;85 anos ou mais;0;Total;45;Pessoas;93901
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;4;Homens;5997;Idade ignorada;0;Total;45;Pessoas;1327
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;5;Mulheres;0;Total;0;Total;45;Pessoas;566940
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;5;Mulheres;5922;Menos de 1 ano;0;Total;45;Pessoas;13617
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;5;Mulheres;5948;1 a 4 anos;0;Total;45;Pessoas;2530
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;5;Mulheres;5953;5 a 9 anos;0;Total;45;Pessoas;1262
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;5;Mulheres;5959;10 a 14 anos;0;Total;45;Pessoas;1685
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;5;Mulheres;5966;15 a 19 anos;0;Total;45;Pessoas;3343
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;5;Mulheres;5967;20 a 24 anos;0;Total;45;Pessoas;4423
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;5;Mulheres;5968;25 a 29 anos;0;Total;45;Pessoas;5034
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;5;Mulheres;5969;30 a 34 anos;0;Total;45;Pessoas;7135
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;5;Mulheres;5970;35 a 39 anos;0;Total;45;Pessoas;10071
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;5;Mulheres;5971;40 a 44 anos;0;Total;45;Pessoas;13026
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;5;Mulheres;5972;45 a 49 anos;0;Total;45;Pessoas;17612
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;5;Mulheres;5973;50 a 54 anos;0;Total;45;Pessoas;24462
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;5;Mulheres;5974;55 a 59 anos;0;Total;45;Pessoas;32093
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;5;Mulheres;5975;60 a 64 anos;0;Total;45;Pessoas;41381
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;5;Mulheres;5976;65 a 69 anos;0;Total;45;Pessoas;49359
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;5;Mulheres;5977;70 a 74 anos;0;Total;45;Pessoas;56151
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;5;Mulheres;5978;75 a 79 anos;0;Total;45;Pessoas;64872
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;5;Mulheres;5979;80 a 84 anos;0;Total;45;Pessoas;72231
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;5;Mulheres;5980;85 anos ou mais;0;Total;45;Pessoas;146074
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;5;Mulheres;5997;Idade ignorada;0;Total;45;Pessoas;579
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;104539;Ignorado;0;Total;0;Total;45;Pessoas;286
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;104539;Ignorado;5922;Menos de 1 ano;0;Total;45;Pessoas;91
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;104539;Ignorado;5948;1 a 4 anos;0;Total;45;Pessoas;2
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;104539;Ignorado;5953;5 a 9 anos;0;Total;45;Pessoas;-
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;104539;Ignorado;5959;10 a 14 anos;0;Total;45;Pessoas;1
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;104539;Ignorado;5966;15 a 19 anos;0;Total;45;Pessoas;6
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;104539;Ignorado;5967;20 a 24 anos;0;Total;45;Pessoas;4
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;104539;Ignorado;5968;25 a 29 anos;0;Total;45;Pessoas;4
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;104539;Ignorado;5969;30 a 34 anos;0;Total;45;Pessoas;1
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;104539;Ignorado;5970;35 a 39 anos;0;Total;45;Pessoas;1
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;104539;Ignorado;5971;40 a 44 anos;0;Total;45;Pessoas;6
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;104539;Ignorado;5972;45 a 49 anos;0;Total;45;Pessoas;5
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;104539;Ignorado;5973;50 a 54 anos;0;Total;45;Pessoas;10
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;104539;Ignorado;5974;55 a 59 anos;0;Total;45;Pessoas;12
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2018;2018;0;Total;0;Total;104539;Ignorado;5975;60 a 64 anos;0;Total;45;Pessoas;8
