NC;NN;D1C;D1N;D2C;D2N;D3C;D3N;D4C;D4N;D5C;D5N;D6C;D6N;D7C;D7N;D8C;D8N;MC;MN;V
Nível Territorial (Código);Nível Territorial;Brasil, Unidade da Federação e Município (Código);Brasil, Unidade da Federação e Município;Variável (Código);Variável;Ano (Código);Ano;Mês de ocorrência (Código);Mês de ocorrência;Natureza do óbito (Código);Natureza do óbito;Sexo (Código);Sexo;Idade do(a) falecido(a) (Código);Idade do(a) falecido(a);Local de ocorrência (Código);Local de ocorrência;Unidade de Medida (Código);Unidade de Medida;Valor
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;0;Total;0;Total;0;Total;45;Pessoas;1510086
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;0;Total;5922;Menos de 1 ano;0;Total;45;Pessoas;25860
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;0;Total;5948;1 a 4 anos;0;Total;45;Pessoas;4259
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;0;Total;5953;5 a 9 anos;0;Total;45;Pessoas;2449
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;0;Total;5959;10 a 14 anos;0;Total;45;Pessoas;3665
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;0;Total;5966;15 a 19 anos;0;Total;45;Pessoas;15466
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;0;Total;5967;20 a 24 anos;0;Total;45;Pessoas;25203
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;0;Total;5968;25 a 29 anos;0;Total;45;Pessoas;24831
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;0;Total;5969;30 a 34 anos;0;Total;45;Pessoas;28565
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;0;Total;5970;35 a 39 anos;0;Total;45;Pessoas;36818
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;0;Total;5971;40 a 44 anos;0;Total;45;Pessoas;45859
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;0;Total;5972;45 a 49 anos;0;Total;45;Pessoas;57167
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;0;Total;5973;50 a 54 anos;0;Total;45;Pessoas;77124
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;0;Total;5974;55 a 59 anos;0;Total;45;Pessoas;102609
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;0;Total;5975;60 a 64 anos;0;Total;45;Pessoas;129336
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;0;Total;5976;65 a 69 anos;0;Total;45;Pessoas;151078
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;0;Total;5977;70 a 74 anos;0;Total;45;Pessoas;162943
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;0;Total;5978;75 a 79 anos;0;Total;45;Pessoas;164505
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;0;Total;5979;80 a 84 anos;0;Total;45;Pessoas;169888
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;0;Total;5980;85 anos ou mais;0;Total;45;Pessoas;280264
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;0;Total;5997;Idade ignorada;0;Total;45;Pessoas;2197
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;4;Homens;0;Total;0;Total;45;Pessoas;846845
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;4;Homens;5922;Menos de 1 ano;0;Total;45;Pessoas;14196
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;4;Homens;5948;1 a 4 anos;0;Total;45;Pessoas;2317
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;4;Homens;5953;5 a 9 anos;0;Total;45;Pessoas;1420
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;4;Homens;5959;10 a 14 anos;0;Total;45;Pessoas;2172
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;4;Homens;5966;15 a 19 anos;0;Total;45;Pessoas;12184
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;4;Homens;5967;20 a 24 anos;0;Total;45;Pessoas;20346
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;4;Homens;5968;25 a 29 anos;0;Total;45;Pessoas;19114
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;4;Homens;5969;30 a 34 anos;0;Total;45;Pessoas;20625
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;4;Homens;5970;35 a 39 anos;0;Total;45;Pessoas;24973
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2020;2020;0;Total;0;Total;4;Homens;5971;40 a 44 anos;0;Total;45;Pessoas;29838
